,date,ron95,ron97,diesel,ron95_skps,series_type,ron95_budi95,diesel_eastmsia
446,2026-01-15,-0.020000000000000018,-0.029999999999999805,-0.050000000000000266,0.0,change_weekly,0.0,0.0
447,2026-01-08,-0.020000000000000018,-0.050000000000000266,-0.04999999999999982,0.0,change_weekly,0.0,0.0
448,2026-01-01,0.0,0.0,0.0,0.0,change_weekly,0.0,0.0
449,2025-12-25,-0.06000000000000005,-0.08000000000000007,-0.08000000000000007,0.0,change_weekly,0.0,0.0
450,2025-12-18,-0.020000000000000018,-0.029999999999999805,-0.040000000000000036,0.0,change_weekly,0.0,0.0
451,2025-12-11,-0.020000000000000018,-0.020000000000000018,-0.020000000000000018,0.0,change_weekly,0.0,0.0
452,2025-12-04,0.03000000000000025,0.03000000000000025,0.0,0.0,change_weekly,0.0,0.0
453,2025-11-27,-0.020000000000000018,-0.020000000000000018,-0.020000000000000018,0.0,change_weekly,0.0,0.0
454,2025-11-20,0.0,0.029999999999999805,0.03000000000000025,0.0,change_weekly,0.0,0.0
455,2025-11-13,0.04999999999999982,0.04999999999999982,0.04999999999999982,0.0,change_weekly,0.0,0.0
456,2025-11-06,0.0,0.0,0.06999999999999984,0.0,change_weekly,0.0,0.0
457,2025-10-30,0.0,0.06000000000000005,0.06000000000000005,0.0,change_weekly,0.0,0.0
